Time (s),x (m),y (m),z (m),vx (m/s),vy (m/s),vz (m/s),B_North (nT),B_East (nT),B_Down (nT),RollTorque (Nm),PitchTorque (Nm),YawTorque (Nm),OmegaX (rad/s),OmegaY (rad/s),OmegaZ (rad/s),Power (Watt)
110,-6.70202600180706,-0.09846053126964224,0.6107686996957171,0.0006160101771670734,-0.004794057979694119,0.0059937046970379325,2.5479082760444725e-05,4.729037826722228e-06,1.5355555895024804e-06,-6.4768729005926776e-06,-6.4768729005926776e-06,4.397249980078869e-07,0.19962857736339343,0.0997742430235562,0.29962857736339377,0
120,-6.695427333712361,-0.14639362001201647,0.6706643369419627,0.00070370881984406,-0.004792455185086642,0.005985291701800004,2.5467747497657185e-05,4.7400004874538895e-06,2.0585967026455236e-06,2.5356407234164255e-06,-8.675124781347851e-06,-6.139484057931425e-06,0.19960010130846503,0.0997914968473393,0.2996001013084653,0
130,-6.6879521371206545,-0.19430754372396344,0.7304719146721254,0.0007913139498334259,-0.004790225019056142,0.00597609299219936,2.545376797698039e-05,4.750738954951494e-06,2.5813629524547883e-06,-8.863802578369131e-06,6.495476575017933e-06,-2.3683260033511983e-06,0.19954802123930593,0.09975031380922768,0.2995480212393062,0
140,-6.679601404937333,-0.24219603019464814,0.7901835818695389,0.0008788140138394725,-0.0047873677962765575,0.005966109811183553,2.543714645448997e-05,4.761253065468833e-06,3.103786010642249e-06,-2.097319303156073e-06,-8.459329873677588e-06,-2.097319303156073e-06,0.19955681708584677,0.09973354258462756,0.29955681708584697,0
150,-6.670376245525817,-0.2900528107797049,0.8497915004733252,0.0009661974738229341,-0.004783883915355654,0.005955343506927206,2.541788578711559e-05,4.771542505776477e-06,3.625797594364821e-06,3.1362270575906e-06,3.1362270575906e-06,-7.936391249684137e-06,0.19950213697475963,0.09973668119792992,0.29950213697475975,0
160,-6.660277882546888,-0.33787162124018805,0.9092878464295766,0.0010534528086193187,-0.004779773858755307,0.005943795532611831,2.539598943416012e-05,4.781606811351438e-06,4.147329474938278e-06,-6.425997105953452e-06,-6.425997105953452e-06,1.372594449337686e-06,0.19949362202247653,0.09966770432100269,0.2994936220224767,0
170,-6.6493076547818735,-0.38564620258065946,0.9686648107402555,0.0011405685155532175,-0.004775038192698486,0.005931467446189058,2.537146145905088e-05,4.7914453644154995e-06,4.668313486546558e-06,3.389554967660741e-06,-8.97606361450458e-06,-5.58650864684384e-06,0.1994715923182539,0.09968946748433949,0.29947159231825404,0
180,-6.6374670159396985,-0.43337030188627906,1.0279146005096427,0.0012275331120482416,-0.004769677567063011,0.005918360910127317,2.534430653132836e-05,4.801057391819543e-06,5.188681534945706e-06,-8.609667925194982e-06,7.177808170107131e-06,-1.4318597550878513e-06,0.19942382290169372,0.09964291960923483,0.2994238229016939,0
190,-6.624757534447867,-0.4810376731587665,1.0870294399881704,0.0013143351372322547,-0.004763692715262094,0.005904477691142093,2.5314529928877562e-05,4.810441962770957e-06,5.708365606161605e-06,-1.4670054705322063e-06,-8.797918363369869e-06,-1.4670054705322063e-06,0.19943956048503386,0.09962332669608175,0.29943956048503406,0
200,-6.6111808932274165,-0.5286420781511039,1.1460015716134748,0.0014009631535375632,-0.004757084454111749,0.005889819659909847,2.5282137540408546e-05,4.819597986401288e-06,6.227297775180688e-06,3.708555491517858e-06,3.708555491517858e-06,-7.471450468946531e-06,0.19938875347649931,0.09962924284503548,0.29938875347649946,0
210,-6.596738889451886,-0.5761772872008458,1.20482325704851,0.0014874057482957403,-0.004749853683685134,0.005874388790765712,2.5247135868192298e-05,4.828524209171176e-06,6.745410214632907e-06,-6.342601827066923e-06,-6.342601827066923e-06,2.068587863472732e-06,0.19938627275809304,0.09956264970967127,0.2993862727580932,0
220,-6.581433434290379,-0.6236370800619089,1.2634867782165535,0.0015736515353267613,-0.0047420013871538776,0.005858187161385064,2.5209532031059333e-05,4.837219212109565e-06,7.2626352034659414e-06,4.2427178988773935e-06,-9.16443241500219e-06,-4.921714516124797e-06,0.19937743532882904,0.09958067688454345,0.29937743532882927,0
